text_clean_joined,date,sentiment_gemini
itu sengaja kasih air sedikittp air jadi lebih banyak karna etanol pada pertalite larut dan satu dgn air,2025-11-04,negatif
pantess motor mati bae di jalan brebet pulak,2025-11-01,negatif
kenapa kemarin sore pak pak harus waktu beli langsung di cekkk lek wing sore samean campuro dewe mosok ero seng sportif lek e ancen komplain,2025-11-02,negatif
pantas jual ecer larang kacau kacau,2025-11-01,negatif
rakyat knp masih pada sabar ya ga tau rumah bahlil,2025-11-02,negatif
kek pertamax jg udh campur etanol akhir ini motor gw sering brebetjd susah hidup,2025-11-03,negatif
rugi rakyat sekali ini,2025-11-03,negatif
pak pertamina sepeda motor ku baru bulan gara isi pertalite yo brebet pakkkk pokok ganteni gawe nang bengkelll titikkkkk rumah pandaan pasuruan,2025-11-05,negatif
terus guna sidak apa wong smua emang di setting bgituuu heran bgt,2025-11-03,negatif
maaf dek pertamina hnya bs jawab tdk pernah tanggung,2025-10-31,negatif
ya allah podo mbak wayahe nyusul anak sekolah kok mogok ya allah mana bawa bocil bel i ambek truk mobil wes gupuh kabeh bar isi pertamax iki mau,2025-11-07,negatif
pancen jahat kok sing mbarakno rugi iku,2025-10-31,negatif
anjaayy bu chooyy,2025-11-06,negatif
aku habis hampir jt gara gara itu,2025-11-03,negatif
solusi nya isi bensin di madura karna botol nya keliatann jdi anti oplos,2025-10-31,positif
ada hikmah buat bengkel,2025-10-31,positif
motor ku juga oi harus gmna ini,2025-11-01,negatif
pabrik busi ketawa liyat ini,2025-11-02,positif
wah saya sangat bangga jadi wni,2025-10-31,positif
parah,2025-10-31,negatif
anjir itu mesin motor rusak apa jadi,2025-10-31,negatif
nuntut pertamina bisa gk sih,2025-11-01,negatif
bengkelalamak duit nih,2025-11-01,positif
ih motor gua gitu akhir ini,2025-10-31,negatif
bisa tuntut ga si,2025-10-31,negatif
ada mekanik nya neng sma putus tri tpi dia nyindir,2025-10-31,negatif
bahll anj emang nyari duit udah susah d bkin tambah susah karna harus service mlu,2025-11-02,negatif
baru brapa bulan,2025-10-31,negatif
masalah yg jual bensin cuma pertamina,2025-10-31,negatif
bensin udah di oplos tetep aja masih ngaku rugi,2025-10-31,negatif
nyata ini sebab motor saya kemaren nyata betul,2025-10-31,negatif
aku pernah tu pas mau berangkat sekolah sama pas mau beli barang,2025-10-31,negatif
motor ayah ku juga kena dan aku yg gotong dari gerbang rumah sampe rumah,2025-10-31,negatif
baru,2025-11-01,netral
udah nga percaya lagi nih sama pertamina ngisi di vivo ah untung ada bensin swasta deket rumah,2025-10-31,negatif
pasti nontonnya jumat siang,2025-10-31,netral
sebenernya bukan oplos air itu etanol itu minus nya dia serap air apalagi negara kita lembab jadi lama bensin nya jadi campur air,2025-10-31,netral
aku pake pertamax kok brebet juga punya motor dua brebet,2025-10-31,negatif
motor juga kena,2025-11-01,negatif
motor yo ngono mbrebet,2025-11-03,negatif
lgsg ke pertamina aja mba minta ganti,2025-11-02,netral
spbu mana anda isi pertalite,2025-11-02,netral
gua uda x mogok isi pertalitepertamina gk beres uda kasus korupsioplosansekarang mogok masal,2025-11-03,negatif
la ngerti motor sng sijine rusak goro pertamina tapi nyapo motor liyane kok pancet mbo isi ndk pertamina nem painem piye to,2025-11-04,negatif
koyoke emang awak dewe dikongkon mlaku mbak kurang polusi lah lek pedae brebet kabeh isi pertalite or pertamax podo ae,2025-11-02,negatif
sudah banyak korban sudah jahat ini tapi tidak ada laku yang di tetap,2025-11-01,negatif
tebakmesti di step karo sikil yoh,2025-11-01,netral
alhamdulillah pilih gua bener ambil pertalite,2025-11-02,positif
lek sing domisili surabaya info bp sudah ready di jl pemuda,2025-11-01,netral
mbak rekomendasi aja lek misal mau motor seng tangguh dan tahan banting pake motor bebek aja atau motor yang sama kek temennya mbak jarang yang kena kasus mogok kek gin soal,2025-11-02,positif
podoq wing y mogok nyurung golek bengkel salah gowo ank cilik pis,2025-11-04,negatif
wes tak iseni extrajoss ae spdaku,2025-11-02,negatif
pertamina ancen guwoblok busi motor e bojoq yo puersis ngono iku mari kene pertalite,2025-11-03,negatif
check jg turbo yg di pertamina mampang motor jd berat beda turbo yg di kuningan rasuna said,2025-11-01,negatif
baru kali ini pertamina bikin resah masyarakat ada apa dengan pertamina,2025-11-02,negatif
sama beatku ya brebet,2025-10-31,negatif
pertamina lg sibuk hitung rugi soal mau akhir tahun,2025-11-01,netral
wes paling bner numpak ontel karo dokar ae kyok jman penjahahan itung nostalgia,2025-10-31,negatif
mba aku pake stylo baru tahun ini tak isi mesti pertamax sumpah brebeeett betty mosok aku kudu nak suroboyo gae tuku bp,2025-10-31,negatif
iki pertamina ga speakup ta,2025-10-31,netral
sepeda tak isi solar kak saking jengkel e,2025-10-31,negatif
heee sumpah scoopy ku yo tau brebet moro mati nang tengah embong raya dan di beli wong akeh kok yo untung mobil mburiku gak nabrak aku sumpah iki wes bahaya rek,2025-10-31,negatif
trs iki isi opo rek bensin e,2025-10-31,netral
motor juga kmaren kenaa trs kuras bensin ada banyak bagi yg bening busi rusak juga,2025-10-31,negatif
jangan beli pertamina di merr kan ada bp kalo gasalah depan superindo,2025-11-01,negatif
motor baru bulan juga brebet,2025-11-07,negatif
mangkane motor anak q koq nyandet,2025-11-03,negatif
beliny kemaren soreko mau ngantri lagi,2025-11-05,negatif
tutup aja pertamina ganti shell aja,2025-11-01,negatif
sepeda kakak ipar aku mati gabisa hidup garagara bensin,2025-11-04,negatif
mangkane brebet peda padahal ngisi pertamax,2025-11-04,negatif
bayar bensin aja di oploss apalagi gratiss hahahahaha,2025-11-04,negatif
anjg gw dari beli motor smpe skrng gw urus rw rawat rutin baru isi minyak full kmaren lgsung mogok di jalan se umur baru ini motor gw mogok,2025-11-03,negatif
motor ku legrekkk pak gara samean,2025-11-06,negatif
motor brebet rek,2025-11-03,negatif
gw isi pertamax turbo sama ajh kemarin gw bongkar ada air nya jga,2025-11-08,negatif
sudah benar beli ecer di toko madura asli murni ga ada oplos karna kliatan dari botol full tp jarang ada pertamax sering cm pertalite,2025-11-04,positif
itu lebih wahhhh,2025-11-05,positif
motor saya dua nya rusak gara campur pertalite sama metanol tolong jgan susah kan rakyat seperti ini,2025-11-07,negatif
spbu turun harga pertalite campur air,2025-11-03,negatif
pertamina makin byk yg di tangkap makin gila main kami masyarakat yg korban woooooiiiiii,2025-11-01,negatif
miris amat negri inisgtunyh cari duit,2025-11-05,negatif
itu partalite bukan bensin pak,2025-11-05,netral
motor kami pernah gt habis isi di pom jatak meter mogok mati dibaw akebengkel kuras isi separoh air,2025-11-07,negatif
bisa saja tangki spbu di kuras dulu terus di ganti yg baru karna mau disidak mana mungkin speda motor bohong iya kan,2025-11-04,netral
piralkan,2025-11-07,negatif
gua kira pindah ke pertamax normal malah sama aje hdh buang buang duit doang,2025-11-05,negatif
bener nih guys motor qw jg hbis mbrebet lo pdhal brp thn pk pertalite gak ad masalah lo,2025-11-04,negatif
itu aki pertaminakita tiap hari cekelu emang ada tiap hari di lokasi,2025-11-04,negatif
pantesan beli lewat botol gk boleh tkut tau ad air nya,2025-11-06,negatif
pom malang selatan juga banyak yg bikin sepeda mogok,2025-11-04,negatif
minggu kemaren ngisi ecer yg toko liat sepi berat stok lama aman aja isi pertamax langsung motor kemaren brebet masih bisa jalan sekarang udah mati klesek gabisa kerja minnnnn,2025-11-03,negatif
punya saya sudah saya kuras tetep aja kalau di gas gk bisa jalan malah injeksi ikut rusak,2025-11-05,negatif
motor maticku mas baru juga mogok,2025-11-04,negatif
banyak sepada mogok,2025-11-03,negatif
itu rusak mesin spd mtr tolong tangkap orang yg campur etanol,2025-11-03,negatif
hampir tiap spbu di negeri konoha ini ulah,2025-11-03,negatif
gara gara bensin speda brebet,2025-11-06,negatif
mboh wes ruwet konoha,2025-11-06,negatif
eeem alas ecer mau di tutup jadi ini acara pemerintahbiar gk ketauancakeeep,2025-11-05,negatif
woiii ga tauu prosedur sidakk kahh,2025-11-05,negatif
dan yap gw nak,2025-10-31,netral
bang bahas mbg collab ama prindavan,2025-11-01,netral
kok bisa sih rakyat masih sabar hadap jabat indonesia,2025-10-31,negatif
jir sama bg mtr gua brebet,2025-11-01,negatif
ini yang dulu bilang politik g ngaruh sama hidup seharihari ngumpet dimanaliat nih bijak org dolok yg kasih jabat,2025-11-03,negatif
shell aman ta rek,2025-10-31,netral
podo woi scoopy anyar kaet jpuk di isi pertalite brebettpi mboh lek pertamax,2025-11-02,negatif
habis brp rek ke bengkel bongkar gituu,2025-10-31,netral
guys kalo pakai pertamax masih aman kah,2025-11-01,netral
periksa pom bensin nya,2025-10-31,netral
pertamax gin juga ga yaa,2025-10-31,netral
bang bahas museum yg maling,2025-10-31,netral
coba bahas king evos is backkkkkk,2025-10-31,positif
when dunia full of korupsi,2025-11-01,negatif
begitu indo udah serba mahaltapi kualitas beda jauh banget bagai langit dan bumi,2025-10-31,negatif
kalian yg punya bengkel berterimakasih lah ke bapak bahlil,2025-10-31,negatif
motor jg brebet tapi langsung aku sedot pertalite nya isi pertamax alhamdulillah aman tapi tetep aja bahlil b nya,2025-10-31,negatif
gak tau nakal works apa enggak gue cuma pikir aja kalau misal isi fulltank dulu terus bawa balik kuras lagi bensin simpen di ember diendapin dulu biar pisah bensin sama bahan oplos habis itu pindahin lg bensin yg ada di atas dalam dalam tangki,2025-10-31,netral
kang bengkel,2025-10-31,netral
motor hasil utang masih baru eh baru aja rusak gara isi pertalite,2025-10-31,negatif
sabar ye saudar ku di indo salam dari malaysian,2025-10-31,positif
saham bengkel,2025-10-31,netral
hati jendral,2025-10-31,netral
pantesan motor bapak gw suka mati jalan,2025-10-31,negatif
pertama,2025-10-31,netral
aduh kakak kelas ku lagi pkl apakah dia sibuk,2025-10-31,netral
tukang bengkel laris manis,2025-10-31,positif
pertamina sby mana nih,2025-11-01,netral
aku scoppy dar beli pertamax trs,2025-10-31,netral
podoo mbak beat street ku yo kenek jancok i bahlil,2025-10-31,negatif
aku yo dadi gaisok pp beatku tiba gabisa nyala,2025-10-31,negatif
piyemosok iseh arep mileh bahlil dan partaine maneh,2025-11-01,negatif
erin mesti spek balap iso nyurong soale step motor,2025-11-01,netral
podo mbk motor q brebet hari ini,2025-10-31,negatif
terus maksute e opo pertamina terus lak koyok ngene seng gae susah opo n kok g onok tindak opo rasane adem ayem ae enak seng pertamina tetep kipas duit lha kita ini terus susah,2025-11-01,negatif
motor q juga baru keluar bengkel kak,2025-11-01,netral
cara pisah etanol dari pertalite,2025-11-01,netral
wah mbak isi turbo dulu aj mbak punya saya beat pake pertalite gak enak pakai pertamax masih gak enak pakai turbo baru enak mbak,2025-10-31,positif
wees mbuh pertaminakatanya rugi terus tapi kita tuku bayar cashmalah pordak eee oplos wesss mbuh negoro ikipak prabowo piye mentrine iki esdm,2025-10-31,negatif
ingat kata manusia klereng minta tanggung jawab ke pertamina kak,2025-11-01,netral
duhh akuu gaene pom mobil tapi aman sehh moga aman sak rusa,2025-11-01,positif
mba podo wes dino mslhe gae budal moleh kerjo,2025-10-31,negatif
saat shell banyak cabang,2025-10-31,netral
lebih baik beli seblak dari pada ganti oli opo sehh,2025-11-02,negatif
sepeda e ayah ku yo gawe pertamax tapi tetep macet,2025-10-31,negatif
monggo pihak kait utama pertamina untuk tanggap keluh masyarakat kait pertalite,2025-11-01,netral
mending shell aja,2025-10-31,positif
fazzio ku juga betul isi pertalite sama ibuk kemarin malah brebet bet duh,2025-10-31,negatif
aku iyo mbak moleh kerjo tuku pertalite lah kok brebet bsk e moleh kerjo tak tukuno pertamax astaghfirullah tambah mati gaiso dstater gaes nuntun teko pom tekan omah adoh kesel moleh kerjo hari iki aku gojek karo ngebis trus kerjo e sepeda motor melbu bengkel jare rusak busi e smpek an,2025-10-31,negatif
scoopy q yo dadi korbane pertalite ngisi pertalite rb kenek servis rb,2025-10-31,negatif
samaa kak motor juga hbs di isi pertalite brebet trs akhir ganti ke pertamax baik huhu,2025-10-31,negatif
untung di deket rumah pom mobil masih beroprasi jd gk ke pertmn,2025-10-31,positif
nek aq gawe pertamax yo gak cocok polane sepeda q tenaga karbu tak setel yo enak,2025-10-31,negatif
betull sama bgtt beatbstreet yo mbrebet,2025-10-31,negatif
drpd pertamina gaji komisaris miliar gk ada guna lbhbaik buat ganti baik motor yg rusak ini krn bbm nya,2025-11-01,negatif
tangki ku karat gtu kenapa yamasak bensin nya atau masuk air ya,2025-11-07,negatif
bahlil b nya apaa,2025-11-02,netral
pantesan motor baru sekarang tidak bisa tahan lama dan cepat rusak rupa ini sebab,2025-11-03,negatif
pasuruan brebet jga pak,2025-11-03,negatif
bahlil lihat tuh bikin tambah susah rakyat paham g,2025-11-02,negatif
banyak sekarang solar campur air mobil teman kena juga,2025-11-04,negatif
bapak prabowo masih tidur kalau udah viral baru bangun,2025-11-02,negatif
pantesan motor masyarakat banyak yang rusak,2025-11-04,negatif
copot tri anak jg mogok motor,2025-11-03,negatif
pantas aja motor rusak bagi injesi trusd,2025-11-02,negatif
itu masih mendingkadang air campur warna,2025-11-05,negatif
tp kata gus iqdam bahlil itu orang baik,2025-11-03,positif
motor kemarin brebet habis itu tangki dibersihin sama tukang bengkel sekarang aman aja,2025-11-03,positif
pertalit bikin motor brebet sekarang,2025-11-02,negatif
udh byk korban gaknusah ngelak lg,2025-11-01,negatif
pantas motor banyak yg rusak bengkel pada banjir rizki,2025-11-01,negatif
di wilayah tuban bojonegoro lamongn sama pakbnyk sepdh motor pd rusak bekebet hbs di isi bensin,2025-11-01,negatif
pertamax malah antri sekarang,2025-11-03,netral
beneran di daerah gresik sudah banyak motor yg brebet atau mogok telah isi pertalite,2025-11-03,negatif
gara pertalit sepeda saya juga brebet pak,2025-11-03,negatif
gak tindak tegas ya jd ulang trs jadi spt ini tugas intelejen itu ngapain aja sih ya,2025-11-01,negatif
pantesan motor saya hbs d servis lancar trs lanjut stlh hr isi bensin di ecer masih aman lnjut lg hr ikut isi d pom jd brebet,2025-11-02,negatif
tetep yg jadi korban rakyat kecilkasihan yg jdi korbanapa gk takut kualat yach,2025-11-02,negatif
pertamina jauh banget tinggal dari petronas,2025-11-02,negatif
etanol kah campur,2025-11-03,netral
copot aja tuh si bahlil nyusahin kita rusak woy mobill,2025-11-02,negatif
bener banget pak spdaku langsung mati,2025-11-05,negatif
sama yg ada mayjend sungkono o,2025-11-02,negatif
kereta ku mogok karena campur etanol,2025-11-02,negatif
motor brebet anjj di kasih etanol,2025-11-02,negatif
bahenol bahlil etanol,2025-11-03,negatif
etanol boleh kita boleh ajar dengan barat tapi harus bisa urai dengan premium kalo pisah gin bosa jadi masalah serus,2025-11-03,negatif
itu curang pertamina,2025-11-01,negatif
plesss cepet tindak lanjut pertamina sampe sepeda ku rusak i benerin nya jg ga murah dan kasihan juga para ojek online atau bentorbecak montor dan para milik motor yang harus benerin sepeda nya karna ulah kalian iya kalo mereka punya uang buat benerin kalo ngga sepeda itu penting buat kami yg tidak milik kendara lain kecuali montor apalagi seperti ojek online mereka cari nafkah dan kerja yang mau berangkat kerjaa juga kasihan banya di pinggir jalan yg sepeda nya brebet ini sudah sangat sangat fatall segera di usut,2025-11-07,negatif
gara si bahlil motor gua brebet,2025-11-02,negatif
aku pertamax gpp iki lek pertalite ancen iyo tak bener no tapi lek pertamax gag iki,2025-11-04,netral
alam semarang beat street minggu ini brebet klo gas kecil pas jln macet ndut an klo gas gede aman boros lkm jemput anak,2025-10-31,negatif
lha seng gk oplos iki opo terus reekkk pertalite pertamax podo ae,2025-10-31,negatif
yg dorong dari kanan kakak kaki kiri dorong ujung knalpot,2025-10-31,netral
keren banget temennya bs kayak gt tahan teman kalian,2025-10-31,positif
jadi ini harus alhamdulillah atau astaghfirullah,2025-10-31,netral
guwa korban,2025-10-31,negatif
rejeki kang bengkel,2025-10-31,positif
bang bahas atlas i yang kata kapal lord boros,2025-10-31,netral
kata kalau alami kendala sebut pertamina akan tanggung jawab sumber dari pak bahlil ntah itu jga valid apa ngga seliwer di tiktok,2025-10-31,negatif
tukang bengkel senyum iki langsung rame,2025-10-31,positif
kata bahlil di ganti motor yg rusak yuk kita tagih karna yg gitu gak satu dua gaas,2025-10-31,negatif
pertamina kiro kiro iso di klaim rusa hadap customer sak endonesa ta gak yooo,2025-10-31,negatif
aku pake astrea juga ihhhh,2025-10-31,netral
dampak hanya pada motor matic yg full injection kalau yg karbu aman,2025-10-31,netral
sing neng kabupaten piye iki enek e muk pertamina,2025-10-31,negatif
pertamax neng varioku ngeden jir,2025-10-31,negatif
tag bahlill rekkk,2025-10-31,negatif
kakk sadar ndak pasti pertalit nasib kayk premium jdi bisa aja diilangkan loh agar kita pake pertamx semua klo ndk gt pertmax nntik di opls sma pertalitr kak dengan nada dering,2025-10-31,negatif
samaaa mbkk sampe ganti filter bensin sama sensor gas ttp macet,2025-10-31,negatif
mbak kalau beli yg di spbu coco dengan kode depan itu kalau beli sana ada case seperti ini nnti bisa di bantu bawa ke bengkel mbk bawa bukti pembayaranpembelinya biar bisa di claim,2025-10-31,positif
dah suzuki nex selalu aq isi pertamax alhamdulillah sek aman cuman tari kek berat gitu skr ga kek pertamax jaman dulu,2025-10-31,negatif
iyo pek motor yo brebettt anjerrrr ngisi ng pom darjo pdhal,2025-10-31,negatif
ihh motor juga brebett tauuuu,2025-10-31,negatif
kakk sama di motor beat cerita kmrin sblm dipinjem orang bensin full tak beliin pertalite mesin enak klo di gas pas dipinjem sm bapak buat ke rs dibeliin full sm dia lah kok mesin tak pake kyk berat bgt dan mogok,2025-10-31,negatif
surabaya byk pilih pom bensin swasta kak aku yg di daerah lbh milih ngisi di mobil indostation krn yg swasta ada itu udh gk percaya sm pertamina,2025-11-01,negatif
pertamax jg kena,2025-11-06,negatif
pertamax jg sama aja bang,2025-11-06,negatif
motor beat aku jga nak capek bolak balek ke bengkel bagus sebentar tu brevet lagi,2025-11-04,negatif
saham bengkel full margin,2025-11-05,netral
iya motor ku d gas senin jalan kamis,2025-11-05,negatif
di samarinda sudah,2025-11-03,netral
ya allah motor udah mau kena kayak,2025-11-08,negatif
sama barusan aku ngalamin,2025-11-03,negatif
tar w mw isi bensin dr luar az klo udh ada sekarang pake motor listrik dlu az,2025-11-05,negatif
motor kuuu isi pertamax juga gituu,2025-11-03,negatif
info klok ga di pertamina dimna lagi jual bensin,2025-11-03,netral
aku juga brebet di kalsel banyak juga bukan aku aja,2025-11-05,negatif
yang saya heran kenapa jadi seperti ini ada di jawa sajakita tingal di pelosok jarang jadi seperti ini,2025-11-05,negatif
neng yang punya bengkel,2025-11-08,netral
gw jg gt anj emng,2025-11-07,negatif
banjarmasin juga oy,2025-11-05,negatif
saya sudah d batas ke bengkel x dan lapor spbu tp spbunya ada aja sanggah nya kl bilang mesin masalah masak iyaa bareng jamaah gin hadehhh meski spbu bilang udah di sidak dan mereka aman tp loo bukti ancuurrr,2025-11-07,negatif
minta ganti rugiii,2025-11-03,negatif
bkn cuma pertalite motor ku hbs di isi pertamax langsung brebet mogok,2025-11-05,negatif
gw isi pertamax mogok kena busi ama rotak ganti,2025-11-05,negatif
korban motor,2025-11-07,negatif
di kalimantan juga kak,2025-11-05,negatif
aku kena bangg,2025-11-08,negatif
motor juga kak padahal di jateng astaga dzalim sekali ni perintah,2025-10-31,negatif
waduh aq tiap hari isi bbm di jln rajawali mangknya motor ku sering mogok anjirrr,2025-11-01,negatif
bene cirebon juga gtu kek nya gue abis isi bensin brebet,2025-11-01,negatif
yang penting gw untung,2025-11-01,positif
wes raja lela mogok dah,2025-11-02,negatif
cuur pantesan beat ku bet ga mari,2025-11-04,negatif
pantes sering mogok motor gue asuuuh pertamina goblok,2025-11-01,negatif
motor juga sering tibapas di gas kyak mau mati,2025-11-04,negatif
bahlil makin ganteng aja,2025-11-03,positif
aq juga beli pertamax di pom perak juga gitu pak ada air,2025-11-02,negatif
bahlullbahlull,2025-11-02,negatif
rembang juga udah oplos pak banyak kendara yang bobrok,2025-11-01,negatif
oo baru nyadar brrti lama ini beli bensin dipom besar tidak boleh guna botol nyata takut tau,2025-11-02,negatif
kenya hampir rata motor jadi berebett,2025-11-06,negatif
bukti sudah ada masih ngelak aja itu org pertamina,2025-11-04,negatif
motor ku ngadet klw jalan,2025-11-03,negatif
ini gada pertanggungjawabann kahhh atas motor yang brebet atau ada yang kata sampe turun mesinn minimal dri spbu dalam waktu tentu turun harga kek atau gimana gitu bagai bentuk ganti rugi,2025-11-04,negatif
gawe brebet,2025-11-04,negatif
mending beli shell,2025-11-03,negatif
perintah nyenengin rakyat nyusahin rakyat,2025-11-03,negatif
tangkap bahlul,2025-11-03,negatif
ini smua main orang atas agar pertamax lakuu kerass,2025-11-03,negatif
pasuruan cek,2025-11-04,netral
cung yg karbu nya bocor gegara etanol,2025-11-04,negatif
mau pindah ke shell tapi shell di medan udah tutup semua,2025-11-05,negatif
dah brebett cuokkk,2025-11-02,negatif
cokkk gara gara bahel dah mogok cokkkk,2025-11-01,negatif
makanya gk boleh beli pake jerigen biar gk tahu kelakuannyaa,2025-11-02,negatif
plis demo ke pertamina saja karyawan spbu hanya jalan tugas kerja,2025-11-02,negatif
pasuruan keluh di bensin sepeda brebet,2025-11-02,negatif
turun bahlil,2025-11-02,negatif
bahenol bahlil ethanol,2025-11-01,negatif
mau demo pun masyarakat sibuk sama kerja masingmasing sedih euy ga ada yg wakilin buat nuntut pertamina,2025-10-31,negatif
duar,2025-11-01,netral
bisa jdi daerah situ kali,2025-11-01,netral
wis monopoli korupsi,2025-11-04,negatif
pantes motor gw rasa kek gitu akhir ini nyata gara si lil lil,2025-11-01,negatif
ini benar akal akal buat pindah pertamax ga si wkwkk,2025-11-02,negatif
berita nya pertamina ngecek aman tp fakta nya banyak yg ke bengkel,2025-11-01,negatif
pertamina mana mau tanggung jawab,2025-11-02,negatif
iya bener motor gue ngadat ngadatan,2025-11-01,negatif
gw juga pernh gin anjr,2025-11-01,negatif
itu game pause itumah,2025-11-02,netral
mobil indostation bagus gak gaes,2025-11-03,netral
lah kemarin pertamax sekarang pertalite trus mau isi apa,2025-11-01,negatif
pantesan motor gw brebet juga,2025-11-05,negatif
bahan bakar gak kualitas padahal harga mahal anj,2025-11-01,negatif
knp baru sekarang rusak hadeh,2025-11-01,negatif
skrg uda ksni bang,2025-11-01,netral
arti kmrn pas buat mbrebet yov mergo iki soale analisis bengkel masuk air sampe turun mesin ganti sembarang kalir meh jt,2025-10-31,negatif
ylki tolongin dong,2025-10-31,negatif
ancen bahlik mbak gawe ontran ontran,2025-10-31,negatif
podo mbke aq spda brebet kbh,2025-11-09,negatif
opo hubung bbm dengan mesin kotor jaka sembung nggak bawa golok,2025-11-09,negatif
matic injek pasti mumet beat q juga rompal gara pertalite kak,2025-11-09,negatif
tangerang aman,2025-11-08,positif
kok saya lihat yang penuh masalah itu sepeda matic honda ya,2025-11-08,negatif
sama kak duit habis buat benerin motor mulu trnyata problem nya di bensin,2025-11-08,negatif
lek tuku njalok nota,2025-11-08,netral
sama kaya aku motor baru ku udah brebet nyata ga nisa pakai pertalite karena ada campur etanol bisa rusak mesin sekarang paksa pakai pertamax,2025-11-08,negatif
iki masalah pertamina opo honda asline,2025-11-08,negatif
dari sby madurasm sm brebet kk meski servis sm di ganti gusi nya tetep aja brebet kk sampai sampai g bisa kerja,2025-11-08,negatif
temenku sendiri kena anjir abis rb,2025-11-08,negatif
tuku pom mobil ae lek onk tapi,2025-11-08,netral
damn,2025-11-08,negatif
aku tahun ini udh pindah ke pom biru,2025-11-08,netral
moga lancar kuliahnyantar kalau udah punya jabat jangan punya putus yang nyusahin orang juga ya kak,2025-11-08,positif
bener asli sama yg saya juga kirain motor saya doang yg masalah nyata pas buka tiktok tau banyak juga yg ngalamin yg sama,2025-11-08,negatif
mesakke rek yoopo pak bahenol bantu dorong gelem ta,2025-11-08,negatif
nanti barang bukti upa kilang minyak apakah akan bakar lagi,2025-11-08,negatif
spd motor isi pertalite brebet bawa bengkel lalu ganti pertamax malah mati nyala mati nyala gitu terus,2025-11-07,negatif
mbakkk peda mari servis k,2025-11-07,netral
pindah indomobil ae mbak,2025-11-07,netral
kena apa kok mesti motor merk ini ya aaaa,2025-11-07,negatif
udh pling bener isi di mobil,2025-11-07,positif
jadi gin yg maksud buka lapang kerja bengkel,2025-11-05,negatif
asli euy dekah kmren brebet di kuras tangki isi smaaa,2025-11-07,negatif
tangki kilang minyak bocor masuk air,2025-11-03,negatif
asli sampai kena,2025-11-08,negatif
sama pertamax wehh,2025-11-07,negatif
memang beli di mana di spbu apa bensin ecer,2025-11-03,netral
motor jugaa ihh pernah pas ujan deres pulang sekolah tiba mati,2025-11-02,negatif
pertalite di hujat rakyat rugi tukang bengkel untung,2025-11-02,negatif
pertamax malah gak glm mlaku blassssssss gas e,2025-11-03,negatif
kalimantan juga kena,2025-11-05,negatif
lah gua kira motor gua doang,2025-11-02,negatif
fyp nya telat motor ku udah masuk bengkel kemarin,2025-11-03,negatif
motor brebet gitu juga tapi udah lama apakah opolosan daerah udh dluan dr dlu sblm viral atau ada kendala lain ya,2025-11-02,negatif
mending gruduk aja rumaj si bahlul gblk,2025-11-02,negatif
di kalsel juga bang,2025-11-03,negatif
udh lite masih oplos malah lebih tiktok lite,2025-11-06,negatif
di kalbar juga gitu btw aku korban nya,2025-11-02,negatif
ini yng pada kena pas servis kena berapa guys,2025-11-07,negatif
pertamax juga,2025-11-03,netral
motor ku juga kena,2025-11-06,negatif
motor sensei ku juga rusak gegara pertalite,2025-11-02,negatif
iyaa kak punya saya juga kayak gitu,2025-11-01,negatif
ancuk aq korban e siang ini habis,2025-11-06,negatif
gua mau isi vivo ga bisaaaaa akhir mau ga mau isi pertamax emang tiiiiiii,2025-11-02,negatif
ini negara mau jd apa sih,2025-11-01,negatif
rejeki tukang bengkel,2025-11-01,negatif
bang bahas kenapa waktu kian mundur seperti jam sholat,2025-11-01,netral
motor cwo gua juga gitu,2025-11-02,negatif
tukang bengkel cair cair,2025-11-01,negatif
bang bahas ujang rajin ngaji,2025-10-31,netral
motor kena jugaa sekarang bingung beli bensin mana soal bp sama shell dekat masih pada tutup gatau kapan buka,2025-11-02,negatif
kayak harus turun tangan ke lapang lagi sih seperti sahroni kemarin,2025-11-01,negatif
pertamax juga bang serius gw juga tiba tiba rebut,2025-11-02,negatif
bahlul ente bahlul,2025-11-03,negatif
ungkap sampe tuntas pertamina,2025-11-01,negatif
klo kayak gin siapa yg tanggung jwb klo motor korbanya rusak,2025-11-02,negatif
yang oplos menteri nya yg di sidak spbu nya,2025-11-01,negatif
bikin rusak kendara ga siih kalau bahan bakar kaya gitu,2025-11-01,negatif
kawal cak ji ges,2025-11-01,negatif
kalo mau cek langsung di pom nya langsung cek tempat coba,2025-11-01,netral
pecat bahlil,2025-11-01,negatif
akhir ini emang motor tbtb jdi brebet padahal rajin ganti oli,2025-11-03,negatif
sepeda sudah jadi korban mbrebetpadahal baru servisdan nyata banyak sepeda di bengkel dengan nasib yg sama,2025-11-03,negatif
emang ga ada demo untuk bahlil,2025-11-04,negatif
motor uda rusak,2025-11-02,negatif
mobil ngisi disurabaya juga jadi rusak henti jalan,2025-11-02,negatif
sepada suami q brebet hbis isi bensin pertalite jd takut beli bensin,2025-11-02,negatif
tri yang bikin susah rakyat jangan kasih jabat,2025-11-01,negatif
jadi inget bahan bakar di film cars trus mogok mati mesin,2025-11-02,negatif
sepeda brebet semua pak gimana sich habis pertamax oplos skrg yg pertalite sepeda jdi brebet semua,2025-11-03,negatif
tetap mentok keluarga dan pertamina lanjut lagi oplos lagi,2025-11-04,negatif
kendara banyak yang macet,2025-11-02,negatif
bahlil emang bahlul,2025-11-02,negatif
gak juga ngaruh bro orang kecil bisa apa,2025-11-03,negatif
