text_clean_joined,sentiment_gemini
bener banget spdaku langsung mati,negatif
mayjend sungkono o,netral
kereta ku mogok campur etanol,negatif
motor brebet anjj kasih etanol,negatif
bahenol bahlil etanol,negatif
etanol ajar barat urai premium pisah gin bosa serus,netral
curang pertamina,negatif
plesss cepet tindak lanjut pertamina sampe sepeda ku rusak i benerin tidak murah kasihan ojek online bentorbecak montor milik motor benerin sepeda karna ulah iya uang benerin tidak sepeda tidak milik kendara kecuali montor ojek online cari nafkah kerja berangkat kerjaa kasihan banya pinggir jalan sepeda brebet fatall usut,negatif
gara si bahlil motor gua brebet,negatif
pertamax tidak iki lek pertalite ancen iyo bener no lek pertamax gag iki,negatif
alam semarang beat street minggu brebet gas pas jln macet ndut an gas gede aman boros lkm jemput anak,negatif
lha seng tidak oplos iki opo terus reekkk pertalite pertamax podo ae,negatif
dorong kanan kakak kaki kiri dorong ujung knalpot,netral
keren banget temennya kayak gt tahan teman,positif
alhamdulillah astaghfirullah,netral
guwa korban,negatif
rejeki kang bengkel,netral
bang bahas atlas i kapal lord boros,netral
alami kendala pertamina tanggung sumber bahlil ntah valid ngga seliwer tiktok,negatif
tukang bengkel senyum iki langsung rame,positif
bahlil ganti motor rusak yuk tagih karna gitu tidak gaas,negatif
pertamina kiro kiro iso klaim rusa customer sak endonesa ta tidak yooo,negatif
pake astrea ihhhh,negatif
dampak motor matic full injection karbu aman,netral
sing neng kabupaten piye iki enek e muk pertamina,negatif
pertamax neng varioku ngeden jir,negatif
tag bahlill rekkk,netral
kakk sadar tidak pertalit nasib kayk premium aja diilangkan loh pake pertamx ndk gt pertmax nntik opls sma pertalitr kak nada dering,negatif
samaaa mbkk sampe ganti filter bensin sensor gas ttp macet,negatif
mbak beli spbu coco kode depan beli sana case nnti bantu bawa bengkel mbk bawa bukti pembayaranpembelinya claim,netral
dah suzuki nex isi pertamax alhamdulillah sek aman cuman tari kek berat gitu skr tidak kek pertamax jaman,negatif
iyo pek motor yo brebettt anjerrrr ngisi ng pom darjo pdhal,negatif
ihh motor brebett tauuuu,negatif
kakk motor beat cerita kmrin sblm dipinjem orang bensin full beliin pertalite mesin enak gas pas dipinjem sm bapak rs dibeliin full sm mesin pake kyk berat mogok,negatif
surabaya byk pilih pom bensin swasta kak daerah lbh milih ngisi mobil indostation krn swasta tidak percaya sm pertamina,negatif
pertamax kena,netral
pertamax aja bang,positif
motor beat nak capek bolak balek bengkel bagus sebentar tu brevet,negatif
saham bengkel full margin,netral
iya motor ku gas senin jalan kamis,negatif
samarinda,netral
ya allah motor kena kayak,negatif
barusan ngalamin,negatif
tar isi bensin az pake motor listrik dlu az,netral
motor kuuu isi pertamax gituu,netral
info klok tidak pertamina dimna jual bensin,netral
brebet kalsel bukan aja,negatif
heran jadi jawa sajakita tingal pelosok jarang jadi,negatif
neng bengkel,netral
gt anj emng,negatif
banjarmasin oy,netral
batas bengkel x lapor spbu spbunya aja sanggah kl bilang mesin masalah masak iya bareng jamaah gin hadehhh spbu bilang sidak aman loo bukti ancuurrr,negatif
ganti rugiii,negatif
bkn pertalite motor ku hbs isi pertamax langsung brebet mogok,negatif
isi pertamax mogok kena busi ama rotak ganti,negatif
korban motor,negatif
kalimantan kak,netral
kena bangg,negatif
motor kak jateng astaga dzalim ni perintah,negatif
isi bbm jln rajawali mangknya motor ku mogok anjirrr,negatif
bene cirebon gtu kek abis isi bensin brebet,negatif
untung,positif
wes raja lela mogok dah,negatif
cuur pantesan beat ku bet tidak mari,negatif
pantes mogok motor asuuuh pertamina goblok,negatif
motor tibapas gas kyak mati,negatif
bahlil ganteng aja,positif
beli pertamax pom perak gitu air,negatif
bahlullbahlull,negatif
rembang oplos kendara bobrok,negatif
oo nyadar brrti beli bensin dipom tidak botol takut tau,negatif
kenya rata motor berebett,negatif
bukti ngelak aja orang pertamina,negatif
motor ku ngadet jalan,negatif
gada pertanggungjawabann kahhh motor brebet sampe turun mesinn minimal dri spbu turun harga kek gimana gitu bentuk ganti rugi,negatif
gawe brebet,negatif
mending beli shell,negatif
perintah nyenengin rakyat nyusahin rakyat,negatif
tangkap bahlul,negatif
smua main orang pertamax lakuu kerass,positif
pasuruan cek,netral
cung karbu bocor gegara etanol,negatif
pindah shell shell medan tutup,negatif
dah brebett cuokkk,negatif
cokkk gara gara bahel dah mogok cokkkk,negatif
tidak beli pake jerigen tidak tahu kelakuannyaa,negatif
plis demo pertamina karyawan spbu jalan tugas kerja,negatif
pasuruan keluh bensin sepeda brebet,negatif
turun bahlil,negatif
bahenol bahlil ethanol,negatif
demo masyarakat sibuk kerja masingmasing sedih euy tidak wakilin nuntut pertamina,negatif
duar,netral
daerah situ kali,netral
wis monopoli korupsi,negatif
pantes motor rasa kek gitu gara si lil lil,negatif
akal akal pindah pertamax tidak si wkwkk,negatif
berita pertamina ngecek aman fakta bengkel,netral
pertamina tanggung,negatif
iya bener motor ngadat ngadatan,negatif
pernh gin anjr,negatif
game pause itumah,netral
mobil indostation bagus tidak gaes,netral
kemarin pertamax pertalite trus isi,netral
pantesan motor brebet,negatif
bahan bakar tidak kualitas harga mahal anj,negatif
rusak hadeh,negatif
skrg uda ksni bang,netral
kmrn pas buat mbrebet yov mergo iki soale analisis bengkel masuk air sampe turun mesin ganti sembarang kalir meh jt,negatif
ylki tolongin,negatif
ancen bahlik mbak gawe ontran ontran,negatif
podo mbke spda brebet kbh,negatif
opo hubung bbm mesin kotor jaka sembung tidak bawa golok,netral
matic injek mumet beat rompal gara pertalite kak,negatif
tangerang aman,positif
lihat penuh sepeda matic honda ya,netral
kak duit habis benerin motor mulu trnyata problem bensin,negatif
lek tuku njalok nota,netral
kaya motor ku brebet tidak nisa pakai pertalite campur etanol rusak mesin paksa pakai pertamax,negatif
iki pertamina opo honda asline,netral
sby madurasm sm brebet kk servis sm ganti gusi tetep aja brebet kk tidak kerja,negatif
temenku kena anjir abis rb,negatif
tuku pom mobil ae lek onk,netral
damn,negatif
tahun pindah pom biru,netral
moga lancar kuliahnyantar jabat jangan putus nyusahin orang ya kak,positif
bener asli kirain motor doang masalah pas buka tiktok tau ngalamin,negatif
mesakke rek yoopo bahenol bantu dorong gelem ta,negatif
barang bukti kilang minyak bakar,netral
spd motor isi pertalite brebet bawa bengkel ganti pertamax mati nyala mati nyala gitu,negatif
mbakkk peda mari servis,netral
pindah indomobil ae mbak,netral
kena mesti motor merk ya aaaa,negatif
pling bener isi mobil,positif
gin buka lapang kerja bengkel,positif
asli euy dekah kmren brebet kuras tangki isi smaaa,negatif
tangki kilang minyak bocor masuk air,negatif
asli kena,negatif
pertamax wehh,netral
beli spbu bensin ecer,netral
motor jugaa ihh pas ujan deres pulang sekolah tiba mati,negatif
pertalite hujat rakyat rugi tukang bengkel untung,negatif
pertamax tidak glm mlaku blassssssss gas e,negatif
kalimantan kena,negatif
gua motor gua doang,netral
fyp telat motor ku masuk bengkel kemarin,negatif
motor brebet gitu opolosan daerah dluan dlu sblm viral kendala ya,negatif
mending gruduk aja rumaj si bahlul gblk,negatif
kalsel bang,netral
lite oplos lebih tiktok lite,negatif
kalbar gitu btw korban,negatif
yng kena pas servis kena guys,negatif
pertamax,netral
motor ku kena,negatif
motor sensei ku rusak gegara pertalite,negatif
iya kak kayak gitu,netral
ancuk korban e siang habis,negatif
gua isi vivo tidak bisaaaaa tidak isi pertamax emang tiiiiiii,negatif
negara,netral
rejeki tukang bengkel,netral
bang bahas kian mundur jam sholat,netral
motor cowok gua gitu,negatif
tukang bengkel cair cair,positif
bang bahas ujang rajin ngaji,netral
motor kena jugaa bingung beli bensin mana bp shell dekat tutup tidak buka,negatif
kayak turun tangan lapang sahroni kemarin,netral
pertamax bang serius rebut,negatif
bahlul ente bahlul,negatif
sampe tuntas pertamina,netral
kayak gin tanggung jwb motor korbanya rusak,negatif
oplos menteri sidak spbu,negatif
rusak kendara tidak siih bahan bakar kaya gitu,negatif
kawal cak ji ges,positif
cek langsung pom langsung cek tempat coba,netral
pecat bahlil,negatif
emang motor tbtb brebet rajin ganti oli,negatif
sepeda korban mbrebetpadahal servisdan sepeda bengkel nasib,negatif
emang tidak demo bahlil,negatif
motor uda rusak,negatif
mobil ngisi disurabaya rusak henti jalan,negatif
sepada suami brebet hbis isi bensin pertalite takut beli bensin,negatif
tri susah rakyat jangan kasih jabat,negatif
inget bahan bakar film cars trus mogok mati mesin,negatif
sepeda brebet gimana sich habis pertamax oplos skrg pertalite sepeda brebet,negatif
mentok keluarga pertamina lanjut oplos,negatif
kendara macet,negatif
bahlil emang bahlul,negatif
tidak ngaruh bro orang,negatif
bukti mata nampak sagat aja geles pertamina gecek cek salah rakyat nantik,negatif
warga kota bekas mobil kiras tangki dj toyota jababeka bensin pertamax pertamina tidak sempurna bakar tinggal ampas gas rem masalah mesin tidak enak mohon bantu tegur pertamina,negatif
tegak hukum,positif
asli bener isi pertalite motor brebet gilir isi pertamax lancar parahparah,negatif
wajar tidak si tangki motor vbaru karat tangki,negatif
ya allah motor januari brebet mogok tengah jalan ya allah kudu nang,negatif
sumpah kak samaaa pindah pake bensin bp,negatif
pas isi motor suka mati,negatif
kalimantan bang,netral
kasi gua bree balik dalang,netral
tidak beli pakai gen nyaakan liat campur,negatif
kwalitas pertamina ragu keluh tidak benah,negatif
bukan etanol campur air musim hujan bongkar tidak rentan masuk air,netral
pasuruan sepeda brebet garagara bengsin bak sepeda mogok nunggak kerja karna kendala kendara an,negatif
uu nomor lindung konsumen,netral
bener banyu udan,negatif
ya allah poleh wedi nek gowo anak tidak lucu yo,negatif
indo demo,netral
iki presidene onok keluh sak indonesia perkoro bbm neng aejane kerjone opo presiden iki ngerti mentrine gawe ontran sak indonesia neng ae,negatif
motor asa lemah mesin,negatif
pertamax beli dmn kk,netral
rakyat bikin coba gimanakesel banget keluh rakyat asa tidak dgr,negatif
pertamina wajibbertanggung sesuai amanat uu indung konsumen,negatif
beat street kompresi srandar ya ron pertamax isi ron utk kompresi rendah motor skrg rata mesin kompresi,netral
tuku sepeda maneh ae mbak,netral
octan boster n injection cleaner neng injection cleaner x aja,netral
aq yoooo nang mayjend sungkono jam an ujuk ujuk mati motor pas muter makam pahlawan untung mobil pelan abang polisi cepek bantuin dorong mpe nyebrang deket ruko efek bahlul pake etanol,negatif
listrik aja,netral
motor scoopy shell aman damai sentosa trus atok kosongberalihlah pertalite brebet gnti busi trus gnti pake pertamax brebet boros pakai trus gnti pertamax turbo sik pancet brebet muncul vt pertamax turbo hrsnya ron stlh cek trnyata ron cm pie jaltrus kudu gnti solar ta ben aman damai sentosa tidak atek drama motor brebet maneh,negatif
temu bbm bobibos liat aja ges besok bobibos sabotase pihak saing,negatif
podovarioku iki isi pertamax mati mesinjian mangkel yoan,negatif
sampek tulungagung,netral
bnsn ecer spbu gede tetep pertamax dlu pake pertalite pertamax habis aja,netral
anak ku pakai pertamax mogokpas pulang kuliah upn,negatif
bahlil cair,netral
ngeri,negatif
jadi saksi polda metro jaya adu barang mbak cerah,netral
njalok tanggung karo kumpul manusia laknat nek pertamina yoo ra baka reken bahlil kro pertamina kui isine kumpul menungso laknat dn kutuk,negatif
kerang kuning pertamax ampuuuun mbaakk motor tari gas nyaa berattt alhasil pindah pertamax turbo alhamdulillah aman mbaa,positif
doain indonesia ijabah tidak doa ges,positif
sepeda gin mah,netral
trus xride gua pake bensin wktunya isi bensin lg,netral
motor rusak gara,negatif
pingin misuh,negatif
bahlil bantu buka lapang kerja maju umkm bengkel,positif
nak brebet taman jugak nak satu nak jugak emang mantap kosan orang nak bukan aja kesel,negatif
bang pake pertalite rebet trs ganti pertamax mogokkk,negatif
pertamax skrang pertalite,netral
yauu sampe capek benerin motor mulu,negatif
putar ekonomi orng orng belanja,positif
koviv pers motor,netral
motor masuk bngkel ganti busi sm bngkel tidak pk pertalite lanjot isi perlatite brebettttt,negatif
tidak nyangka motor ikut fomo,netral
bensin oplos ditmbah etanol,negatif
motor bukan x hari mogok brebet jalan sy isi full spbu,negatif
yapping,negatif
motor brebet njir,negatif
bang bahas papa jerome bang,netral
iyaaaa bener lagiiii,positif
trus isi bengsin mana woi,negatif
tarik,netral
bpk nasrani anak mondok pke kmeja item,netral
beli kesitu beli isi air,netral
motor bnyak suka rusak,negatif
beli kemaren sorehari konplain,negatif
suami isi beli ecer alhamdulillah tidak kendala,positif
pantes mbil suka rebet,negatif
untung kuasa x lipat ngoplos minyak spearpat motor paham mksud,positif
hasil bodoh dungu rakus,negatif
motor isi pertamax bretbet dikit isi pertalite brebet mati anj,negatif
smua spbu memng,netral
ji aktif ya,netral
paaaak sepeda motor bretbet,negatif
prabowo kada wani mecat bahlil,negatif
ihh motor brebet jgn gin kali ya bensinnyaa,negatif
pertamina seharuse nerima komplen,negatif
tolongggg,negatif
konspirasi alih kendara listrik kah,negatif
takut oknum bayar orang,negatif
pantes motor kmaren isi pertalit langsung angel hiduppdahal speda msih thn dri dealerajg emang,negatif
harga kualitas rendah,negatif
kena dampak asem tenan,negatif
iki harus e nek beli bensin pakek aqua campur gin taudaripada langsung motor jadi resiko brebet motorkasian seng uang e press beli bensin aja benerin motor,negatif
politik bisnis,netral
oh ta sebab pe layak gon ku brebet ae,negatif
jangan beli pertamina,negatif
prabowo sbnr tidak,netral
pertamina jatim rek,netral
nmax ku jek aman i panggah tk isi pertalet mboh maneh depan e brebet sis po ra,negatif
motor brebet kemarin bolak bengkel sampe x gimana yah kesel sumpah gin trs mending beli motor listrik,negatif
klarifikasi aja baik aja pyn suruh tanggung jwb,negatif
atas gmn prabowo anak buah nyengsaraiin rakyat,negatif
pertamina asu ancen,negatif
wedok iso postep langka,netral
pertaminus mbak,negatif
motor kemarin brebet,negatif
sepeda pancal sehat ayoo,positif
takok nang dealer onok a dodol injeksi sing bolongane gede tukue drpda mbrebet,negatif
ya allah dzolim tenan,negatif
saiki tuku bensin struk kemarin gara pertalite motor mati servis habis ribu,negatif
ngerasain,netral
podo kak busi kyk ngno,negatif
beatku ae tk isi pertamax mbak sedino melbu bengkel,negatif
pertamina mengcarry rakyat indo gampang masuk surga,positif
pom bensin daerah kak,netral
kug tidak demo ya,netral
ngene ki solusi ne piye yo po sak negoro pe dikei motor kabeh nek wes rusak,negatif
ganti exxonmobil ae wis ngene iki carane,negatif
lho pagi korbane bahlul,negatif
habis servis motor full bengkel resmi abis rb full ya rek pokok ganti posisi abis celaka tidak servis bln lbh uenakkkk pol eh gaiso nyala susah distarteraku ya abis bensin ta penuh heh wkwktrs liat berita brebet iki kayak e motor kenamslh e ya abis rb servis full trs dikit servis gara bensin e rakyat sugih ya,negatif
pertamina itachi bengkel laku rame,positif
motor astaghfirullah bengkel alhamdulillah wasyukurillah,negatif
motor rekan kerja tidak brebet mati total iya,negatif
campur campur aja tidak sesuai kendaran anehh,negatif
kompak nepalkan bahlil,negatif
pertamax campur pertalite pertalite campur etanol,netral
demo tidak pertamina,netral
yaampun rek adekuu pedahe disurung,negatif
ngakak warga ini,positif
deg degan woii kemaren abis pinjem motor sodara motor dipake kerja kaka trs beliin pertamax woilahh motor pake pertalite woilahh,negatif
masuk bengkel rb,netral
info motor spacy karbufi brebet tidak,netral
motor brebet ganti sensor tps brebet saran bg bener,netral
madura jugak pakbanyak sepeda motor mati isi bbm spbu,negatif
jawa timur solar langkah,negatif
bahlil b,netral
alas gaboleh pake jeliken bier tidak liat,negatif
efek klao menteri tidak kualitas tidak ahli bidang,negatif
pantesan rencana larang jual bensin ecer,negatif
tuju atas jabat tinggiseolah rencana rakyat berat atur ituyang atas senyum pikir rakyat suara,negatif
ya prabowo biar bijak bahlil rugi rakyat mensehterakan rakyat,negatif
kendara masyarakat cepat masuk bengkel,negatif
bahlil tangkep,negatif
bahlil turunin laah bgtrakyat juta main doang,negatif
astaga kemaren pertamax skrg pertalite gk sudh,negatif
pertalite indo mahal kwalitas buruk masak berita campur etanol parah parah,negatif
ya maknaya vivo sma shell jangan tahan dikosongin tidak sudi gua beli pertamina,negatif
bilang campur ethanol aman cari bilang kerja,negatif
hhhmmm ttp aja kagak tuntas,negatif
ya sepeda brebet ganti tamak lamcar,negatif
habis tamak palsu skrg pertalite,negatif
bukan etanol campur air hahah,negatif
gimna jln kluarnya,negatif
cek jareeiku lak jaremu a,netral
atur larang beli pake plastik drigen liter iya mgga liat,negatif
bukan pertalite aja tpi pertamax,netral
ksalahan pom bensin tidak cek tidak teliti mobil tengki pertamina,negatif
sidak beneran ya smean ambil langsung selang isi loh cak jiii,netral
sidak langsung aja pa nozlle jangan bawa botol mesin pompa dispenser langsung aja ambil sample,netral
motor gua kena sakit bjir,negatif
pertamax,netral
bengkel makasih lil,positif
s marketing pertamax,netral
punya barusan ganti busi tahun ganti busi,netral
tidak pertalite ajaa pertamax jugaa,netral
bang nanya orang korban jiwa bencana perang korban banget,negatif
motor gua gitu pdhl service,negatif
emang motor ane ni bunyi eh brebet mati mati haduhhh,negatif
mobil brebet bang tunggu ya,negatif
pantesan,netral
iya bjir brebet kek mo mati mtor gua,negatif
iya sihh,netral
gua isi turbo pulang kerja motor gaenak endut endut padhl vario,negatif
kelakuann tri ganteng gin amatt,positif
mekanik bengkel resmi mekanik bengkel pinggir jalan,netral
tanggung perintah,negatif
pertamina turuuuuun jangan nglenyem ae,negatif
honda maneh,negatif
pertamina anjm,negatif
semangat rinn,positif
kaya ta direksi pertamina,negatif
salahkn si balul,negatif
spedaku nak tidak ngelles,negatif
konohadiman pmerintah bisnis rakyat,negatif
pertamax,netral
oh bensin motor brebet service ttp bengkel ngasih y bensin,negatif
omaaagmn orng bengkel ngisi pertamax pas pertalite kosong pom,negatif
astaghfirullah marah banget b,negatif
pantes mtrku kek gitu,negatif
motor brebet alhamdulillah servis moga tidak mbrebet,positif
konspirasi lord bahlul asosiasi bengkel,negatif
jatim kelinci coba etanol,netral
admin gerindra nihhh oke gas oke gas,positif
kampung motor brebet massal anj oplos please prabowo tolong tindak,negatif
parah pertalite skrg motor cepat rusak kotor tangki dasar mah beli pom antri ampun parah parah,negatif
zolim rakyat yaallah,negatif
q kemariin ngalamin pom magelang luurrr,netral
hukum berat bahlilbila suruh minum etanol dn bensin dampot tenan bahlil,negatif
akun bahlil komen nonaktif rek,netral
memzng iya pertalit campur etanolmangkanya beli pertamax aja,negatif
parah non ketimbangkena tipu jugak ya,negatif
anku beli pertalit sepeda macet bolak,negatif
alas spbu pertamina larang pake botolplastik bukti tri esdm gmn kayak gtu tanggung,negatif
wes dang demo,negatif
sibalili hrus tanggung jangan masarakat sasar,negatif
jember motor keluh sepeda brebek,negatif
pantes sensor bensin gampang rusak,negatif
isi pertalite ban mala pecah,negatif
ganti shell,netral
aaku gituuuu,negatif
hidup sulit nambah sulit,negatif
rezeki orang bengkel,negatif
shell bensin,netral
viralin,netral
bahlulll,negatif
bekel full senyum,positif
rusak ganti negara mah tidak betulin bensin beli,negatif
oh mrebet gara pertalite ya kirain krna blm gnti oli,negatif
cung aja malam kak motor kakak ku tapi rebet brebet mogok gitu tidak engkol,negatif
pantes motor ku ngadat gitu jalan,negatif
akibat jabat isi bukan teknokrat please depan jabat tri isi teknokrat purbaya,negatif
gua gua doang,negatif
isi pertamax bg keluh gitu,negatif
pertamax tidak bang,netral
binggung searching bbm kasih etanol yah tpi mulu isi bbm spbu,netral
tmpat ku aman aj anjir mlh beli ecerann daerah jawa aj ituu,positif
dahlahh korban,negatif
tambahannnn solar langka daerah alas sinyal eror scan barcode kudu nunggu jam blom jam scan lg ujung nambah jam gila dagang muter ekonomi aja sulit,negatif
podo mbaa keluh tamak,negatif
motor sek enak iso surung kancane lha mobil matic lho opo tidak nangispas tb mandeg jegrek dal surung tidak kenek bedo karo mobil manual,negatif
sll isi pertalite kdng pertamax aman aman ajatp mmg sll serviceganti oli,positif
bnyak korban tpi blom ad tindak tipu tidak jual minyak otor rusak,negatif
orang kaltim situ posisi mu,netral
mbak beli pertamax brebet bengkel habis,negatif
kreta brebet teruss anj laa,negatif
langsung cek ajah spbu mumpung spbu,netral
tangkap mafia pertamina,negatif
jangan pa de bukti tank pom air tank gojek air karna beli ecer pas ujan warung,negatif
kemarin sore kirain ngisi langsung periksa,netral
ihhh motor gitu bbrp skrng aja masuk lg bengkel pake pertamax,negatif
demo part,netral
saran gin motor gmn ya takut pas jalan mogok,negatif
orang jual bakso,netral
mekanik untung capek jirr,negatif
alternatif guys,netral
ulah si bahlil,negatif
benerrr motor gua brebet co,negatif
asli bang bner cape bengkel,negatif
tukang bengkel anggota mekanik jurus tkr harga benerin motor,negatif
loh,netral
oplos pakai bensin,negatif
tukang bengkel,netral
isi indomobil amannn,positif
mobil,netral
anjjj nyusahin bgttt,negatif
mobil ajaa brebet anj,negatif
tolak petronas bensin asli bensin campur good idea,positif
aman pertamax ya bang,netral
stok alih listrik,netral
tidak ngomong kasar wakil tidak,positif
jawa timur doang jabar aman,positif
pertamax jugakayak gin,negatif
kaya sengaja giring pake kendara listrik tidak,negatif
podo yo wes ono minggu iki vario gas mlh matidulurq yo ngunu servis entek mogok trus wes ono minggu,negatif
ka isi pertamax kemaren sore skrng mtr brebet blm bawa bengkel,negatif
pertamina rugi,negatif
coba o yamaha mbakmesine bandelrata seng korban spedane honda,positif
pertamax ksongmaunya perintah,negatif
korban,negatif
kalah ama petronas jirudah murah kualitas bagus,negatif
aja kena bg,netral
isi bensin pake dongg,netral
perintah ngurangin populasi kendara pribadi,netral
kek beli sepeda aja gaada bensin percaya,negatif
pdhl beli peramax loh,negatif
ntb msih ama bngt,positif
samaa astghfirr dzolim perintah,negatif
kakk motor baruu poll brebet brebet beat cbs ku,negatif
isi mana mb pom nyabawa kantor adu pertamina kl sana sulit viralkan lg mb rakyat laku nepal,negatif
shell aja nolak tuh campur,negatif
absen korban barusan,negatif
ya anak beli pertalit daerahmalang sepeda pakai pagi jam henti dadak isi pertalit stater brebet mati nuntun gimana,negatif
emang nyata tonggoku ngisi motore mbrebet nang bengkel entek ewu lek emang rekayasa mosok akeh seng kenek,negatif
ahahaa tidak nyalahin buka situ doang,netral
bagus sidak pertamina semuaaa,positif
korban de,negatif
jual botolgitu tidak airnyaentah kl masuk tank motor guncang,negatif
lil bahlil,netral
alhamdulillah jateng jaya semenjak dpt bansos,positif
siksa pda rakyat,negatif
pertamax aja,positif
bahlil gua telat tka gra bentol,negatif
isi pertamax jam pom bensin madura pas jam brebet ya allah,negatif
kemarin sampe jatoh bang,negatif
motor brebet,negatif
bukan aja,netral
solusi pertamina mobil tangki transparan,positif
pertamina sulit percaya,negatif
kasi rakyat,positif
pertamina gimana tanggung bayar beli bensin kes aja rugi terliunan,negatif
pertamax kotor residu pertalite,negatif
atur orang biadap pusat,negatif
ayo rim semangat,positif
sedehh nek motor anyar lha nek motor ngunu karuan e beat lawas nek amyar menang,negatif
pertalite pertamax tidak beda,netral
yuk larisin spbu swasta aja rek,positif
isi bensin sell sekrng kosong trpaksa isi pertamax,negatif
podo mbak beatku isi pertamax yo brebet,negatif
alami ganti bp amannn josss,positif
samaaaa gabisa gasss anjirrrr,negatif
keluargku kena,negatif
motor beli rebet,negatif
njay motor yahku gituu,negatif
pertamax jugak,netral
cerita etanol bensin buang bensin pertalite jadiin pertamax,netral
punya tibatiba mati gtu bkn ap tkutny pas ngebut blkng ngebut eh tabrak naudzubillah min zallik,negatif
bener si bahlul ulah aja,negatif
kena jir,negatif
bahlil goyah maha sakti bahlil lakada tuh,negatif
rusak banget dahh indonesia,negatif
klk pertamax aman tidak ya,netral
pajak njirrr,negatif
bahlil bahlil,netral
oke gaes pacar gitu habis bawa bengkel tetep aja brebet trus malem bawa bengkel orang bengkel brp orang motor kasus guendeng poll,negatif
jawatengah jabar banten pertalite pertamax aman ngak mogok rebet cek spbu curang sopir tangki coba cek ngak spbu jatim campur air,negatif
aman brebet mati switch standart samping erorya mati switch,negatif
turbo tidak yaa,netral
laku msh aman n jabat yaa,positif
motor ih rusak beberebedan isi pertamax trnyata krna tidak prnh service,negatif
plat merah bagus,positif
ganti bahan bakar mobil aja dlu kakaman,netral
bahlull tinggal grup,negatif
gara etanol,negatif
kusut pertalit,negatif
bener campur etanol,netral
motor brebet mulu sblm jln warm up,negatif
tolong usuult bbm rugi bahaya rusak,negatif
etanol ubah air yaa,netral
musim ujan skrng,netral
ijin bapa beli pertamina langsung jangan bgtu kawatir oknum rusuh mending bapa bawa botol isi pertalitnya langsung bukti asli,negatif
td servis motor ditmpat suamikupertmaa isi pertalittrus brebetakhirnya isi tamak eh matidikuras bensin warna merah,negatif
usut bos sampe tuntas,negatif
sumpah pantesan motor gua brebet anjir,negatif
pertamina ngaku,negatif
moh salah,negatif
gara gara reza chalid,negatif
pimpin ahok oknum internal bantai rugi masyarakat luas indonesia,negatif
tutor nyurung motor mbakk ket biyen ajar raiso isoo,negatif
pertamina sepi wisan ket wing,netral
kak menghhindari pertalite kennak krn ganti pertamax,negatif
pertaminaindonesia gimana inih beli bensin bayar pertamina rugi motor rusak,negatif
kakaku ya pakai pertamax uda lamaaaatetep ngadat jugaaa,negatif
daerah,netral
fulpum injektorbusi kena semuaa,negatif
rapopo skalian service lek tidak ngunu tidak mok service,netral
podo mbk,netral
ka,netral
beat pop isi pertalite tidak brebet,positif
motor putri yo angel starter biasane ora lokasi jombang,negatif
pertalit pertamax sm brebet,negatif
knpa kmareb blik knpa komplen,netral
suami sidoajo sampek tidak kerjatapi sakit hati lihat respon pertamina bahlil,negatif
podo mbkbeat e ank ku yo ngonobrebetterus wsd service pancet aegk onk hasil epancet brebet,negatif
inti menteri ganti jangan beli plat merah,negatif
aja ngisi pertalite spbu ribu lngsung brebet ka,negatif
alhamdulillah spedaku tidak rewel ngisi bensin mana aman aja,positif
kayak kmrin motor wes ape sakaratul maut pertamina onok ae gebrakanne,negatif
partalit etanol,netral
pertalite tidak bagus ancur gara balil bner pke pertamax,negatif
buka kemaren kena parah si,negatif
kang bengkel,netral
motor brebet ni,negatif
kemarin abis isi pertalite,netral
podo mbukakbeat street ku thn yoan busine gosong filtere rupane kyk areng,negatif
wing gonku y mari mlebu bengkel mbk sak gurunge isi aman mari isi km an brebet akhire y ng bengkel wes,negatif
podo mbak,negatif
mntrinya dipulangin aja,negatif
keluh motor brebret rusah teryata habis isi pertalite,negatif
tidak ambil sample langsung selang,netral
fb viral minggu pertalite motor brebet motor tua pengapianya normal langsung mogok kayak motor ku bener tidak jalan otak atik karbunya tidak karu karuan,negatif
surabaya rame orang mogok,negatif
pake canpuran etanol negara maju,netral
pantes tangki bensin gua karat,negatif
astagaaa isi pertamax oplos pertalite oplos trus suruh percaya gituuu,negatif
doa tukang benkel ijabah,negatif
acau tenan iki ngene men yo yoooo,negatif
haalahhh aja isi pertalite tanggal okt an kli tidak salahlgsung mrebett pcx ku isi rbbrebeetttt bettt trs nunggu abis sampe kedip isi pertamax turbo yaa sek ttp brebeettt beettt,negatif
motor beat bln jalan nyendatscopy sampek tidak nyala sisa motor aman tidak brani ngisi ku biar nganggur garasi bensine habis,negatif
pertamini zholim rakyat,negatif
podo mbakk iki motor yo brebet bet bett,negatif
pertamina susah rkyt,negatif
motor beat kenaganti bussi septemberoktober ganti busi,negatif
mbakk samaaa beatkuu mogok donggg pas jmput sekolahh ganti pertamax,negatif
mol laku,positif
ngeluh banyak honda matic keluar terbarusedangkan yamaha mo kluaran ato tidak masalahjangan matic honda,negatif
pertamina sing salahnekudune sing gawe bijak,negatif
sat set back langsung,netral
akibat liat langsung nyngkal doa,negatif
pom surabaya seng tempate tidak gede,netral
gua pakai pertalite aman aman aja,positif
ganti menterinyabiar tidak kerja numpang keren,negatif
spbu bukan no spbu awal bbm oplos tidak murni pertalitepertamaxitu kabar real sy terima tmn kerja priok,negatif
sidak jangan lapang atur orang main,negatif
